,T_int,logg,lam,f_nu
490,90.0,2.0,1.52097,6.428066349206349e-08
491,90.0,2.0,1.52276,4.3642974603174604e-08
492,90.0,2.0,1.52454,6.626849841269842e-08
493,90.0,2.0,1.52633,9.466428571428571e-08
494,90.0,2.0,1.52812,1.121535873015873e-07
495,90.0,2.0,1.52991,3.579364126984127e-07
496,90.0,2.0,1.5317,1.1350507936507937e-06
497,90.0,2.0,1.5335,1.2145936507936508e-06
498,90.0,2.0,1.5353,1.1366250793650795e-06
499,90.0,2.0,1.5371,6.663785714285714e-07
500,90.0,2.0,1.5389,5.666268571428571e-07
501,90.0,2.0,1.5407,3.7558774603174607e-07
502,90.0,2.0,1.54251,1.3050184126984126e-06
503,90.0,2.0,1.54432,2.1905219047619047e-06
504,90.0,2.0,1.54613,2.479684126984127e-06
505,90.0,2.0,1.54794,1.823206984126984e-06
506,90.0,2.0,1.54976,2.845894285714286e-06
507,90.0,2.0,1.55158,3.1026225396825394e-06
508,90.0,2.0,1.55339,4.484698095238096e-06
509,90.0,2.0,1.55522,7.969890476190475e-06
510,90.0,2.0,1.55704,2.308740634920635e-05
511,90.0,2.0,1.55886,2.475145396825397e-05
512,90.0,2.0,1.56069,1.936979047619048e-05
513,90.0,2.0,1.56252,3.7315266666666667e-06
514,90.0,2.0,1.56435,4.0568974603174606e-07
515,90.0,2.0,1.56619,6.101296190476191e-07
516,90.0,2.0,1.56803,7.66555619047619e-07
517,90.0,2.0,1.56986,2.898904444444445e-06
518,90.0,2.0,1.5717,6.136759047619048e-06
519,90.0,2.0,1.57355,6.00640634920635e-06
520,90.0,2.0,1.57539,3.5440853968253972e-06
521,90.0,2.0,1.57724,1.5932139682539683e-06
522,90.0,2.0,1.57909,1.6887022222222224e-05
523,90.0,2.0,1.58094,1.6913720634920632e-05
524,90.0,2.0,1.58279,1.540949523809524e-05
525,90.0,2.0,1.58465,2.936291428571429e-07
526,90.0,2.0,1.58651,2.515119365079365e-06
527,90.0,2.0,1.58837,1.6294685714285714e-05
528,90.0,2.0,1.59023,3.140304126984127e-05
